Al2O3,CaO,MgO,SiO2,Tliq.C
16.64188,39.09855,3.901745,40.35783,1409
16.90112,38.44131,5.460614,39.19696,1406
17.03492,38.39771,6.220336,38.34703,1412
16.63228,39.94102,3.899494,39.52721,1385
16.75879,39.89131,4.678629,38.67127,1385
16.48864,40.84306,3.116001,39.5523,1395
5.773794,9.026104,51.70213,33.49796,1549
5.203073,8.035822,54.23869,32.52242,1559
11.04497,17.76784,29.28426,41.90292,1520
14.74264,23.12996,15.48063,46.64676,1468
15.30885,23.05463,15.59664,46.03987,1483
16.07444,23.80954,13.63329,46.48273,1510
14.19384,23.19584,15.36685,47.24348,1465
15.49437,23.87345,13.52387,47.10831,1481
15.85659,26.52346,8.121277,49.49867,1524
15.35798,24.93999,13.15891,46.54312,1473
14.95183,24.25278,15.53493,45.26046,1473
15.62881,23.95391,15.6939,44.72337,1500
5.024762,9.136144,53.27652,32.56258,1560
4.962333,9.022635,54.84146,31.17356,1573
5.279974,9.600178,52.54675,32.5731,1550
5.39731,9.813521,52.45342,32.33575,1568
8.217348,14.94098,38.72399,38.11769,1529
12.69316,23.07902,18.31243,45.91539,1454
1.99,25,23.01,50,1370
4.07,25,20.93,50,1345
6.25,25,18.75,50,1315
8.54,25,16.46,50,1280
9.129999,25,15.87,50,1275
10.94,25,14.06,50,1325
13.47,25,11.53,50,1390
16.12,25,8.88,50,1440
18.92,25,6.08,50,1490
21.88,25,3.12,50,1535
24.36,25,0.64,50,1550
2.11,46.53,1.36,50,1495
2.109789,45.18548,2.709729,49.995,1480
2.090209,42.53425,5.370537,50.005,1445
4.29,42.96,2.75,50,1430
2.08,39.92,8,50,1415
4.250425,40.28403,5.460546,50.005,1400
6.54,40.66,2.8,50,1380
2.060206,37.34373,10.59106,50.005,1380
4.22,37.64,8.14,50,1360
6.49,37.95,5.56,50,1340
8.87,38.28,2.85,50,1320
10.11,38.45,1.44,50,1305
10.07,37.06,2.87,50,1290
1.01,35.19,13.8,50,1355
2.05,34.8,13.15,50,1340
3.11,34.92,11.97,50,1328
4.19,35.04,10.77,50,1317
5.3,35.16,9.54,50,1306
6.44,35.28,8.28,50,1295
7.610001,35.41,6.98,50,1280
8.800879,35.54355,5.650565,50.005,1275
11.29,35.81,2.9,50,1330
6.890689,34.80348,8.300831,50.005,1280
7.59924,34.87651,7.529247,49.995,1270
8.67,34.85,6.48,50,1255
1.01,33.95,15.04,50,1345
8.3,34.41,7.29,50,1250
8.54,34.43,7.03,50,1247
2.04,33.55,14.41,50,1335
3.09969,33.64664,13.25867,49.995,1320
4.18,33.75,12.07,50,1303
5.28,33.86,10.86,50,1290
6.42,33.96,9.62,50,1275
7.579242,34.0766,8.349165,49.995,1260
8.77,34.19,7.04,50,1260
8.04,33.59,8.37,50,1245
8.27,33.34,8.39,50,1240
2.03,32.3,15.67,50,1345
4.160416,32.47325,13.36134,50.005,1314
6.39,32.66,10.95,50,1275
7.55,32.75,9.7,50,1260
8.739126,32.84671,8.419159,49.995,1265
11.19888,33.0467,5.759425,49.995,1335
13.79,33.26,2.95,50,1400
2.02,29.83,18.15,50,1360
4.13,29.95,15.92,50,1330
6.349365,30.06699,13.58864,49.995,1295
8.67,30.19,11.14,50,1265
11.11,30.32,8.57,50,1340
16.38836,30.60694,3.009699,49.995,1455
2,27.4,20.6,50,1370
4.1,27.46,18.44,50,1340
6.3,27.51,16.19,50,1309
8.6,27.58,13.82,50,1275
11.03,27.64,11.33,50,1335
16.25,27.78,5.97,50,1445
19.08,27.86,3.06,50,1500
2.03,32.3,15.67,50,1330
4.160416,32.47325,13.36134,50.005,1290
6.39,32.66,10.95,50,1256
8.04,33.59,8.37,50,1238
8.67,30.19,11.14,50,1265
6.349365,30.06699,13.58864,49.995,1250
6.3,27.51,16.19,50,1265
8.54,34.43,7.03,50,1246
8.77,34.19,7.04,50,1247
8.67,34.85,6.48,50,1247
9.0109,9.0109,42.63426,39.34393,1559
11.18,11.18,36.85,40.79,1481
12.71,12.71,32.78,41.8,1496
20.22,20.22,12.74,46.82,1450
23.22768,23.22768,4.729527,48.81512,1500
9.420941,23.73237,17.69177,49.15491,1280
8.94,23.42,18.69,48.95,1282
9.159083,23.10769,18.9981,48.73513,1276
10.09,22.77,18.63,48.51,1288
9.61096,22.78228,19.08191,48.52485,1282
9.830983,22.46225,19.39194,48.31483,1285
9.359064,22.47775,19.84802,48.31517,1276
7.739226,22.51775,21.39786,48.34517,1289
10.29,22.14,19.48,48.09,1293
18.57,21.56,12.17,47.7,1445
15.83,21.65,14.76,47.76,1395
13.23,21.73,17.22,47.82,1355
10.76,21.81,19.56,47.87,1297
9.559999,21.85,20.69,47.9,1283
8.4,21.89,21.79,47.92,1303
6.15,21.96,23.92,47.97,1342
4.009599,22.0278,25.9474,48.01519,1351
1.960196,22.09221,27.88279,48.0648,1371
11.87,20.2,21.13,46.8,1306
11.39,20.22,21.58,46.81,1303
10.66107,20.25202,22.24222,46.84468,1306
9.480947,20.31203,23.33233,46.87469,1314
14.31143,19.12191,20.48205,46.08461,1370
12.8,19.21,21.85,46.14,1327
12.77,18.74,22.66,45.83,1337
13.0013,18.57186,22.71227,45.71457,1351
12.51,18.6,23.15,45.74,1327
11.77,18.65,23.81,45.77,1328
10.57,18.73,24.88,45.82,1351
8.26,18.87,26.95,45.92,1371
6.050605,19.0119,28.92289,46.0146,1423
3.94,19.15,30.81,46.1,1429
1.929807,19.27807,32.60674,46.18538,1449
12.78,15.52,28.02,43.68,1426
10.40104,15.74157,30.023,43.83438,1422
5.96,16.16,33.77,44.11,1463
3.88,16.36,35.52,44.24,1486
1.9,16.55,37.19,44.36,1524
